ZipCode,county,state,Adult,Geriatric
76825,McCulloch County,TX,NA,82.63157894736842
77043,Harris County,TX,NA,78.42105263157895
77049,Harris County,TX,67.94871794871796,NA
77060,Harris County,TX,61.965811965811966,NA
77071,Harris County,TX,NA,66.3157894736842
77488,Wharton County,TX,69.65811965811966,NA
77510,Galveston County,TX,65.38461538461539,NA
77551,Galveston County,TX,26.495726495726498,NA
77581,Brazoria County,TX,30.34188034188034,NA
78201,Bexar County,TX,NA,49.473684210526315
78228,Bexar County,TX,NA,27.368421052631582
78229,Bexar County,TX,NA,89.47368421052632
78242,Bexar County,TX,NA,90.52631578947368
78410,Nueces County,TX,NA,88.94736842105263
78611,Burnet County,TX,82.47863247863248,NA
78701,Travis County,TX,NA,100
78731,Travis County,TX,NA,77.36842105263158
78861,Medina County,TX,82.05128205128204,NA
79416,Lubbock County,TX,NA,32.10526315789474
79706,Midland County,TX,43.58974358974359,NA
79924,El Paso County,TX,40.598290598290596,NA
84057,Utah County,UT,69.23076923076923,NA
84070,Salt Lake County,UT,81.62393162393163,NA
84074,Tooele County,UT,4.700854700854701,NA
84129,,UT,NA,65.78947368421053
05156,Windsor County,VT,66.66666666666666,NA
20155,Prince William County,VA,NA,60
22407,Spotsylvania County,VA,19.230769230769234,NA
22801,Harrisonburg city,VA,39.743589743589745,NA
22835,Page County,VA,59.401709401709404,NA
22851,Page County,VA,NA,87.36842105263159
23093,Louisa County,VA,60.68376068376068,NA
23188,James City County,VA,41.452991452991455,NA
23222,Richmond city,VA,93.58974358974359,NA
23320,Chesapeake city,VA,27.77777777777778,NA
23434,Suffolk city,VA,NA,18.421052631578945
23803,Petersburg city,VA,NA,30
24136,Giles County,VA,97.00854700854701,NA
24210,Washington County,VA,33.33333333333333,NA
24551,Bedford County,VA,NA,58.42105263157895
24590,Albemarle County,VA,91.88034188034187,NA
98052,King County,WA,NA,20.526315789473685
98106,King County,WA,61.53846153846154,NA
98226,Whatcom County,WA,NA,17.894736842105264
98248,Whatcom County,WA,NA,63.1578947368421
98370,Kitsap County,WA,76.49572649572649,NA
98684,Clark County,WA,NA,85.26315789473684
99208,Spokane County,WA,NA,16.842105263157894
25701,Cabell County,WV,16.666666666666664,NA
25801,Raleigh County,WV,NA,14.736842105263156
26444,Preston County,WV,98.29059829059828,NA
26554,Marion County,WV,5.555555555555555,NA
53083,Sheboygan County,WI,NA,78.94736842105263
53189,Waukesha County,WI,55.12820512820513,NA
53528,Dane County,WI,NA,96.84210526315789
54002,St. Croix County,WI,NA,86.8421052631579
54017,St. Croix County,WI,49.572649572649574,NA
54403,Marathon County,WI,78.63247863247864,NA
54891,Bayfield County,WI,97.86324786324786,NA
54935,Fond du Lac County,WI,16.23931623931624,NA
82901,Sweetwater County,WY,NA,86.31578947368422
